SNYDER NAME,NAME NEEDED
Marietta,Marietta
Marian,Marian
Maranatha Baptist,Maranatha Bap
Manhattanville,Manhattanville
Manchester,Manchester
Macalester,Macalester
Mass-Dartmouth,Mass-Dartmouth
Mass-Boston,Mass-Boston
Lyon,Lyon
Lynchburg,Lynchburg
Lycoming,Lycoming
Luther,Luther
Loras,Loras
Linfield,Linfield
Lewis and Clark,Lewis & Clark
LeTourneau,LeTourneau
Lesley,Lesley
Lehman,Lehman
Lebanon Valley,Lebanon Val
Lawrence,Lawrence
Lasell,Lasell
Lancaster Bible,Lancaster Bib
Lakeland,Lakeland
Lake Forest,Lake Forest
LaGrange,LaGrange
La Verne,La Verne
La Roche,La Roche
Knox,Knox
Kings,King's
Keystone,Keystone
Keuka,Keuka
Kenyon,Kenyon
Keene State,Keene St.
Kean,Kean
Kalamazoo,Kalamazoo
Juniata,Juniata
Johns Hopkins,Johns Hopkins
John Jay,John Jay
John Carroll,John Carroll
Johnson and Wales,Johnson & Wales (RI)
Ithaca,Ithaca
Immaculata,Immaculata
Illinois Wesleyan,Illinois Wesleyan
Illinois College,Illinois Col
Illinois Tech,Illinois Tech
Husson,Husson
Huntingdon,Huntingdon
Hunter,Hunter
Howard Payne,Howard Payne
Houghton,Houghton
Hope,Hope
Hood,Hood
Hollins,Hollins
William Smith,William Smith
Hiram,Hiram
Hilbert,Hilbert
Hendrix,Hendrix
Heidelberg,Heidelberg
Haverford,Haverford
Hartwick,Hartwick
Hartford,Hartford
Hardin-Simmons,Hardin-Simmons
Hanover,Hanover
Hamline,Hamline
Hamilton,Hamilton
Gwynedd Mercy,Gwynedd-Mercy
Gustavus Adolphus,Gustavus Adolphus
Guilford,Guilford
Grove City,Grove City
Grinnell,Grinnell
Greenville,Greenville
Greensboro,Greensboro
Goucher,Goucher
Gordon,Gordon
Gettysburg,Gettysburg
George Fox,George Fox
Geneva,Geneva
SUNY Geneseo,SUNY Geneseo
Gallaudet,Gallaudet
Franklin,Franklin
Franklin and Marshall,Franklin & Marshall
Franciscan (Ohio),Franciscan
Framingham State,Framingham St.
Fontbonne,Fontbonne
Fitchburg State,Fitchburg St.
Ferrum,Ferrum
FDU-Florham,FDU Florham
Farmingdale State,Farmingdale
Eureka,Eureka
Endicott,Endicott
Emory,Emory
Emmanuel,Emmanuel
Emerson,Emerson
Elms,Elms
Elmira,Elmira
Elmhurst,Elmhurst
Elizabethtown,Elizabethtown
Edgewood,Edgewood
Eastern,Eastern Univ
Eastern Connecticut,Eastern Connecticut
East Texas Baptist,East Texas Baptist
Earlham,Earlham
Eastern Mennonite,Eastern Mennonite
Dubuque,Dubuque
Drew,Drew
Dominican,Dominican
Dickinson,Dickinson
DeSales,DeSales
DePauw,DePauw
Denison,Denison
Delaware Valley,Delaware Val
Dean,Dean
University of Dallas,Dallas Univ
Curry,Curry
Connecticut College,Connecticut College
Crown,Crown
Covenant,Covenant
Cortland,Cortland
Cornell,Cornell
Concordia (Wis.),Concordia (WI)
Concordia (Texas),Concordia (TX)
Concordia-Moorhead,Concordia Moorhead
Concordia-Chicago,Concordia-Chicago
Colorado College,Colorado College
Colby-Sawyer,Colby-Sawyer
Colby,Colby
Coe,Coe
Coast Guard,Coast Guard
Clarkson,Clarkson
Clark,Clark
Claremont-Mudd-Scripps,Claremont-Mudd-Scripps
CCNY,City College (NY)
Christopher Newport,Christopher Newport
Chicago,Chicago
Chatham,Chatham
Chapman,Chapman
Centre,Centre
Central,Central IA
Centenary (N.J.),Centenary (NJ)
Centenary (La.),Centenary
Cedar Crest,Cedar Crest
Catholic,Catholic
Castleton,Castleton
Case Western Reserve,Case Western
Carthage,Carthage
Carroll,Carroll
Carnegie Mellon,Carnegie Mellon
Carleton,Carleton
Capital,Capital
Calvin,Calvin
Caltech,Caltech
Cal Lutheran,Cal Lutheran
Cairn,Cairn
Buffalo State,Buffalo St.
Buena Vista,Buena Vista
Bryn Mawr,Bryn Mawr
Bryn Athyn,Bryn Athyn
Brooklyn,Brooklyn College
Brockport,Brockport St.
Bridgewater State,Bridgewater St.
Bridgewater (Va.),Bridgewater (Va)
Brevard,Brevard
Brandeis,Brandeis
Bowdoin,Bowdoin
Bluffton,Bluffton
Blackburn,Blackburn
Bethel,Bethel
Bethany,Bethany (WV)
Bethany Lutheran,Bethany Luth
Berry,Berry
Berea,Berea
Benedictine,Benedictine
Beloit,Beloit
Belhaven,Belhaven
Bates,Bates
Baruch,Baruch
Bard,Bard
Baldwin Wallace,Baldwin Wallace
Babson,Babson
Averett,Averett
Austin,Austin College
Aurora,Aurora
Augustana,Augustana
Augsburg,Augsburg
Asbury,Asbury
Arcadia,Arcadia
Anna Maria,Anna Maria
Anderson,Anderson
Amherst,Amherst
Alverno,Alverno
Alvernia,Alvernia
Alma,Alma
Allegheny,Allegheny
Alfred State,Alfred St.
Alfred,Alfred
Albright,Albright
Albion,Albion
Albertus Magnus,Albertus Magnus
Agnes Scott,Agnes Scott
Adrian,Adrian
