Main Team,Opponent
Bates,Bowdoin
Amherst,Trinity (CT)
Hardin-Simmons,East Texas Baptist
East Texas Baptist,Hardin-Simmons
UW-Whitewater,UW-Oshkosh
UW-Stout,UW-La Crosse
UW-Oshkosh,UW-Whitewater
UW-La Crosse,UW-Stout
Texas Lutheran,Colorado College
Colorado College,Texas Lutheran
UW-Whitewater,UW-Stout
UW-Stout,UW-Whitewater
UW-Stevens Point,UW-La Crosse
UW-La Crosse,UW-Stevens Point
Trine,Hope
Johns Hopkins,Gettysburg
Hope,Trine
Gettysburg,Johns Hopkins
Tufts,Bowdoin
Bowdoin,Tufts
Bates,Amherst
Amherst,Bates
UW-Whitewater,UW-Stevens Point
UW-Stevens Point,UW-Whitewater
Scranton,Elizabethtown
Rhode Island College,Mass-Dartmouth
Mass-Dartmouth,Rhode Island College
Elizabethtown,Scranton
Western New England,Roger Williams
Roger Williams,Western New England
Trinity (CT),Rhode Island College
Rhode Island College,Trinity (CT)
UW-Stout,UW-Oshkosh
UW-Oshkosh,UW-Stout
Smith,Bridgewater St.
Millsaps,East Texas Baptist
East Texas Baptist,Millsaps
Bridgewater St.,Smith
St. Norbert,Ripon
Ripon,St. Norbert
UW-Stout,Bethel
Smith,Roger Williams
Roger Williams,Smith
Bethel,UW-Stout
WashU,Bridgewater St.
Washington & Lee,Transylvania
Vassar,Catholic
Trine,Ripon
Transylvania,Washington & Lee
Ripon,Trine
Catholic,Vassar
Carnegie Mellon,Baldwin Wallace
Bridgewater St.,WashU
Baldwin Wallace,Carnegie Mellon
Vassar,Johns Hopkins
UW-Oshkosh,Trine
Trine,UW-Oshkosh
Scranton,Bethel
Messiah,Catholic
Johns Hopkins,Vassar
Catholic,Messiah
Bethel,Scranton
Illinois Wesleyan,East Texas Baptist
East Texas Baptist,Illinois Wesleyan
Bethel,Amherst
Amherst,Bethel
UW-Oshkosh,Northwestern (MN)
Northwestern (MN),UW-Oshkosh
TCNJ,Cal Lutheran
Cal Lutheran,TCNJ
Rhode Island College,Ohio Wesleyan
Ohio Wesleyan,Rhode Island College
Wartburg,East Texas Baptist
Rhode Island College,Randolph-Macon
Randolph-Macon,Rhode Island College
East Texas Baptist,Wartburg
McMurry,East Texas Baptist
East Texas Baptist,McMurry
UW-Stevens Point,St. Norbert
St. Norbert,UW-Stevens Point
St. Joseph's (ME),Maine-Maritime
Northwestern (MN),Gustavus Adolphus
Maine-Maritime,St. Joseph's (ME)
Gustavus Adolphus,Northwestern (MN)
Tufts,NYU
NYU,Tufts
Mass-Dartmouth,Bridgewater St.
Bridgewater St.,Mass-Dartmouth
Bowdoin,Bates
Bates,Bowdoin
Southern Virginia,Christopher Newport
Messiah,Gettysburg
Gettysburg,Messiah
Christopher Newport,Southern Virginia
WashU,Illinois Wesleyan
Tufts,Rhode Island College
Trinity (CT),Smith
Smith,Trinity (CT)
Rhode Island College,Tufts
Illinois Wesleyan,WashU
Whitman,Cal Lutheran
Cal Lutheran,Whitman
UW-Whitewater,Illinois Wesleyan
UW-La Crosse,Hope
Tufts,Scranton
Scranton,Tufts
Roger Williams,Mass-Dartmouth
Rhode Island College,Bridgewater St.
Mass-Dartmouth,Roger Williams
Lebanon Val,Elizabethtown
Illinois Wesleyan,UW-Whitewater
Hope,UW-La Crosse
Elizabethtown,Lebanon Val
Bridgewater St.,Rhode Island College
Belhaven,East Texas Baptist
Gustavus Adolphus,Colorado College
Colorado College,Gustavus Adolphus
Tufts,Roger Williams
Roger Williams,Tufts
Randolph-Macon,Johns Hopkins
Johns Hopkins,Randolph-Macon
McMurry,Hardin-Simmons
Hardin-Simmons,McMurry
Trine,Baldwin Wallace
Smith,Mass-Dartmouth
Mass-Dartmouth,Smith
Elizabethtown,Catholic
Catholic,Elizabethtown
Baldwin Wallace,Trine
Vassar,Trinity (CT)
Trinity (CT),Vassar
Belhaven,Millsaps
NYU,Merchant Marine
Merchant Marine,NYU
Johns Hopkins,Christopher Newport
Christopher Newport,Johns Hopkins
Whitman,East Texas Baptist
St. Joseph's (ME),Bates
Randolph-Macon,Gettysburg
Penn State-Behrend,Chatham
Illinois Wesleyan,Hope
Hope,Illinois Wesleyan
Gettysburg,Randolph-Macon
East Texas Baptist,Whitman
Chatham,Penn State-Behrend
Bates,St. Joseph's (ME)
UW-La Crosse,Bethel
SUNY Geneseo,Amherst
Bethel,UW-La Crosse
Amherst,SUNY Geneseo
UW-Stout,Gustavus Adolphus
Gustavus Adolphus,UW-Stout
Western New England,Rhode Island College
Rhode Island College,Western New England
Whitman,SUNY Geneseo
Washington & Lee,Southern Virginia
Scranton,Cortland
Southern Virginia,Washington & Lee
SUNY Geneseo,Whitman
Cortland,Scranton
Maine-Maritime,Mass-Dartmouth
Mass-Dartmouth,Maine-Maritime
UW-La Crosse,Gustavus Adolphus
Penn State-Behrend,Carnegie Mellon
Ohio Wesleyan,Elizabethtown
Gustavus Adolphus,UW-La Crosse
Elizabethtown,Ohio Wesleyan
Carnegie Mellon,Penn State-Behrend
Texas Lutheran,Hardin-Simmons
Hardin-Simmons,Texas Lutheran
