SNYDER NAME,NAME NEEDED
Manhattanville,Manhattanville
Manchester,Manchester
Macalester,Macalester
Mass-Dartmouth,MA Dartmouth
Mass-Boston,MA Boston
Lyon,Lyon
Lynchburg,Lynchburg
Lycoming,Lycoming
Luther,Luther
Loras,Loras
Linfield,Linfield
Lewis and Clark,Lewis & Clark
LeTourneau,LeTourneau
Lesley,Lesley
Lehman,Lehman
Lebanon Valley,Lebanon Val
Lawrence,Lawrence
Lasell,Lasell
Lancaster Bible,Lancaster Bib
Lakeland,Lakeland
Lake Forest,Lake Forest
LaGrange,LaGrange
La Verne,La Verne
La Roche,La Roche
Knox,Knox
Kings,King's PA
Keystone,Keystone
Keuka,Keuka
Kenyon,Kenyon
Keene State,Keene St.
Kean,Kean
Kalamazoo,Kalamazoo
Juniata,Juniata
Johns Hopkins,Johns Hopkins
John Jay,John Jay
John Carroll,John Carroll
Johnson and Wales,J&W RI
Ithaca,Ithaca
Immaculata,Immaculata
Illinois Wesleyan,Illinois Wesleyan
Illinois College,Illinois Col
Illinois Tech,IL Tech
Husson,Husson
Huntingdon,Huntingdon
Hunter,Hunter
Howard Payne,Howard Payne
Houghton,Houghton
Hope,Hope
Hood,Hood
Hollins,Hollins
William Smith,Hobart & Smith
Hiram,Hiram
Hilbert,Hilbert
Hendrix,Hendrix
Heidelberg,Heidelberg
Haverford,Haverford
Hartwick,Hartwick
Hartford,Hartford
Hardin-Simmons,Hardin-Simmons
Hanover,Hanover
Hamline,Hamline
Hamilton,Hamilton
Gwynedd Mercy,Gwynedd-Mercy
Gustavus Adolphus,Gustavus Adolphus
Guilford,Guilford
Grove City,Grove City
Grinnell,Grinnell
Greenville,Greenville
Greensboro,Greensboro
Goucher,Goucher
Gordon,Gordon
Gettysburg,Gettysburg
George Fox,George Fox
Geneva,Geneva
SUNY Geneseo,Geneseo St.
Gallaudet,Gallaudet
Franklin,Franklin
Franklin and Marshall,Frank & Marsh
Franciscan (Ohio),Franciscan OH
Framingham State,Framingham St.
Fontbonne,Fontbonne
Fitchburg State,Fitchburg St.
Ferrum,Ferrum
FDU-Florham,FDU Madison
Farmingdale State,Farmingdale
Eureka,Eureka
Endicott,Endicott
Emory,Emory
Emmanuel,Emmanuel
Emerson,Emerson
Elms,Elms
Elmira,Elmira
Elmhurst,Elmhurst
Elizabethtown,Elizabethtown
Edgewood,Edgewood
Eastern,Eastern Univ
Eastern Connecticut,Eastern Connecticut
East Texas Baptist,East Texas Baptist
Earlham,Earlham
Eastern Mennonite,E Mennonite
Dubuque,Dubuque
Drew,Drew
Dominican,Dominican IL
Dickinson,Dickinson
DeSales,DeSales
DePauw,DePauw
Denison,Denison
Delaware Valley,Delaware Val
Dean,Dean
University of Dallas,Dallas Univ
Curry,Curry
Connecticut College,CT College
Crown,Crown MN
Covenant,Covenant
Cortland,Cortland
Cornell,Cornell IA
Concordia (Wis.),Concordia WI
Concordia (Texas),Concordia TX
Concordia-Moorhead,Concordia Moorhead
Concordia-Chicago,Concordia IL
Colorado College,Colorado Col
Colby-Sawyer,Colby-Sawyer
Colby,Colby
Coe,Coe
Coast Guard,Coast Guard
Clarkson,Clarkson
Clark,Clark MA
Claremont-Mudd-Scripps,Claremont-Mudd-Scripps
CCNY,City Col NY
Christopher Newport,Christopher Newport
Chicago,Chicago
Chatham,Chatham
Chapman,Chapman
Centre,Centre
Central,Central IA
Centenary (N.J.),Centenary NJ
Centenary (La.),Centenary
Cedar Crest,Cedar Crest
Catholic,Catholic
Castleton,Castleton
Case Western Reserve,Case Western
Carthage,Carthage
Carroll,Carroll
Carnegie Mellon,Carnegie Mellon
Carleton,Carleton
Capital,Capital
Calvin,Calvin
Caltech,Caltech
Cal Lutheran,Cal Lutheran
Cairn,Cairn
Buffalo State,Buffalo St.
Buena Vista,Buena Vista
Bryn Mawr,Bryn Mawr
Bryn Athyn,Bryn Athyn
Brooklyn,Brooklyn Col
Brockport,Brockport St.
Bridgewater State,Bridgewater MA
Bridgewater (Va.),Bridgewater (Va)
Brevard,Brevard
Brandeis,Brandeis
Bowdoin,Bowdoin
Bluffton,Bluffton
Blackburn,Blackburn
Bethel,Bethel
Bethany,Bethany WV
Bethany Lutheran,Bethany Luth
Berry,Berry
Berea,Berea
Benedictine,Benedictine IL
Beloit,Beloit
Belhaven,Belhaven MS
Bates,Bates
Baruch,Baruch
Bard,Bard
Baldwin Wallace,Baldwin Wallace
Babson,Babson
Averett,Averett
Austin,Austin Col
Aurora,Aurora
Augustana,Augustana
Augsburg,Augsburg
Asbury,Asbury
Arcadia,Arcadia
Anna Maria,Anna Maria
Anderson,Anderson IN
Amherst,Amherst
Alverno,Alverno
Alvernia,Alvernia
Alma,Alma
Allegheny,Allegheny
Alfred State,Alfred St.
Alfred,Alfred
Albright,Albright
Albion,Albion
Albertus Magnus,Albertus Magnus
Agnes Scott,Agnes Scott
Adrian,Adrian
