Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Tufts,NESCAC,15.0,10.0,100.0%,0.0%,100.0%,100.0%,-,-,100.0%,0.0%,0.0%,0.0%,59.0,58.8,59.2,31
Bates,NESCAC,16.0,8.0,100.0%,0.0%,100.0%,100.0%,-,-,100.0%,0.0%,0.0%,0.0%,58.8,58.7,58.8,3
Brockport St.,E8,24.0,4.0,70.0%,30.0%,40.0%,57.1%,80.0%,0.0%,-,0.0%,0.0%,0.0%,58.4,57.9,59.4,46
Hope,MIAA,22.5,4.5,80.0%,50.0%,30.0%,60.0%,60.0%,-,-,0.0%,0.0%,0.0%,58.3,58.0,59.3,42
TX Lutheran,SCAC,21.5,5.0,50.0%,10.0%,40.0%,44.4%,100.0%,0.0%,-,0.0%,0.0%,0.0%,58.2,57.4,59.9,60
Ripon,MWC,23.0,4.0,100.0%,100.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,58.2,58.1,58.3,25
Endicott,CNE,21.5,5.5,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,58.2,57.4,58.9,55
Transylvania,HCAC,22.0,5.0,60.0%,60.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,58.2,57.3,58.5,52
UW-Stevens Point,WIAC,18.0,8.0,70.0%,0.0%,70.0%,70.0%,-,-,70.0%,0.0%,0.0%,0.0%,58.1,58.0,58.2,48
UW-La Crosse,WIAC,16.0,11.0,30.0%,0.0%,30.0%,30.0%,100.0%,22.2%,-,0.0%,0.0%,0.0%,58.0,57.9,58.6,79
Bridgewater MA,MASCAC,18.5,5.5,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,57.9,57.5,58.7,53
Rhode Island College,LEC,20.0,7.0,50.0%,30.0%,20.0%,28.6%,50.0%,0.0%,-,0.0%,0.0%,0.0%,57.9,57.4,59.3,58
Washington & Jefferson,PAC,22.0,4.0,90.0%,90.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,57.9,57.0,58.0,40
WashU,UAA,16.5,8.5,40.0%,0.0%,40.0%,40.0%,-,-,-,0.0%,0.0%,0.0%,57.7,57.2,58.4,67
ME Maritime,NAC,22.0,4.0,80.0%,80.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,57.7,56.8,57.8,43
Capital,OAC,20.5,7.0,30.0%,20.0%,10.0%,12.5%,33.3%,0.0%,-,0.0%,0.0%,0.0%,57.7,57.1,59.3,71
Mary Hardin-Baylor,ASC,17.0,7.0,20.0%,0.0%,20.0%,20.0%,50.0%,0.0%,-,0.0%,0.0%,0.0%,57.6,57.3,58.2,87
St. Norbert,NACC,22.5,4.5,50.0%,50.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,57.6,57.1,58.2,59
Ohio Northern,OAC,18.5,8.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,57.5,56.9,59.1,106
Webster,SLIAC,24.0,3.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,57.4,57.0,58.5,78
Hardin-Simmons,ASC,19.0,6.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,57.3,56.5,58.7,100
