Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Rivier,GNAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.5,51.5,51.6,336
Puget Sound,NWC,10.0,13.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.5,51.4,52.3,327
WPI,NEWMAC,12.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.5,51.4,51.5,414
Central IA,ARC,15.0,12.0,20.0%,20.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.5,51.4,53.0,81
Roanoke,ODAC,13.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.4,51.3,51.5,337
Aurora,NACC,15.0,8.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.4,51.4,51.4,131
NC Wesleyan,USAC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.4,50.6,51.4,295
Salem MA,MASCAC,16.0,13.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.4,50.9,52.1,76
DeSales,MACF,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.3,51.2,51.4,182
Northwestern MN,UMAC,19.0,8.0,60.0%,60.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.3,50.0,51.5,51
Macalester,MIAC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,51.3,51.1,51.4,258
Suffolk,CNE,13.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.3,51.2,51.3,369
Houghton,E8,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.2,51.2,51.2,226
Gallaudet,UEC,18.0,10.0,80.0%,80.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,51.1,50.1,51.1,41
Wesleyan CT,NESCAC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,51.1,50.9,51.2,395
Rose-Hulman,HCAC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.0,51.0,51.1,340
SUNY Canton,SUNYAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.0,51.0,51.6,370
Albright,MACC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.0,50.9,51.0,119
St. Mary's MD,UEC,20.0,8.0,20.0%,20.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,51.0,50.9,51.7,90
Ferrum,ODAC,14.0,13.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.0,50.9,51.6,200
Chapman,SCIAC,12.0,13.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.9,50.8,52.1,82
Anderson IN,HCAC,13.0,13.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.8,50.8,51.4,126
Plattsburgh St.,SUNYAC,14.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,50.8,50.8,50.9,319
Milwaukee Eng,NACC,15.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,50.8,50.7,50.9,275
St. Joseph's LI,SKY,17.0,10.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,50.8,50.7,51.1,358
Belhaven MS,CCS,17.0,10.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.7,50.1,51.6,70
St. Scholastica,MIAC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.6,50.5,50.7,364
Mt. Union,OAC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.5,50.5,50.7,288
Emmanuel,GNAC,14.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,50.5,50.4,50.5,196
Concordia TX,SCAC,13.0,13.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,50.4,50.4,51.2,171
Alvernia,MACC,12.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.4,50.4,50.5,124
Union NY,LL,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,50.4,50.4,50.5,383
Marymount,AEC,9.5,15.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.4,49.9,51.5,105
Salisbury,C2C,11.5,14.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.3,49.9,50.8,347
Oglethorpe,SAA,14.0,12.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.2,50.1,50.7,308
PSU-Abington,UEC,16.0,8.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,50.2,50.0,50.2,323
Pacific,NWC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.2,50.1,50.2,313
Concordia WI,NACC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,50.1,50.1,50.2,172
N Central IL,CCIW,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.1,50.0,50.3,291
Grove City,PAC,16.0,11.0,10.0%,10.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,50.1,50.1,51.1,98
Occidental,SCIAC,9.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.1,50.0,50.1,307
Nichols,CNE,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,50.0,50.0,50.1,298
Husson,NAC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,50.0,50.0,50.1,229
Edgewood,NACC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,50.0,50.0,50.1,191
Keene St.,LEC,13.0,14.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,50.0,49.9,50.0,236
Mary Washington,C2C,9.5,17.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,50.0,49.4,50.4,264
Univ Ozarks,SCAC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.9,49.8,50.0,384
Albion,MIAA,12.0,15.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,49.9,49.8,50.0,118
UW-Superior,UMAC,16.0,10.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,49.9,49.3,50.8,93
Case Western,UAA,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.9,49.8,50.1,155
Augustana,CCIW,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.9,49.8,50.0,130
Anna Maria,GNAC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.8,49.8,49.8,127
Kean,NJAC,13.0,14.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,49.8,49.7,50.9,101
Cornell IA,MWC,14.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.7,49.7,49.8,173
Benedictine IL,NACC,15.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,49.7,49.6,49.8,138
Millikin,CCIW,9.0,18.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,49.7,49.6,49.8,274
Clark MA,NEWMAC,11.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.7,49.6,49.7,164
Eastern Connecticut,LEC,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.6,49.6,49.8,187
Randolph Col,ODAC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.5,49.3,49.5,331
Lynchburg,ODAC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.4,49.2,49.6,255
Methodist,USAC,14.0,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,49.4,49.3,50.0,272
Mt. Aloysius,AMCC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,49.3,49.2,49.3,284
Brooklyn Col,CUNYAC,16.5,11.5,50.0%,50.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,49.3,48.9,49.7,54
Haverford,CC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.3,49.2,49.3,218
Loras,ARC,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.2,49.2,49.3,253
Alfred,E8,13.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.1,49.0,49.2,120
Claremont-Mudd-Scripps,SCIAC,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,49.1,49.0,49.2,163
Dubuque,ARC,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.0,49.0,49.1,186
New Jersey City,NJAC,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,49.0,48.9,49.1,299
Mt. St. Vincent,SKY,15.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,49.0,48.9,49.9,287
SUNY Oneonta,SUNYAC,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.9,48.8,48.9,373
Centenary NJ,AEC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,48.9,48.8,48.9,159
Willamette,NWC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.8,48.8,48.9,407
Eureka,SLIAC,16.0,11.0,30.0%,30.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,48.8,48.7,50.3,72
Hartford,CNE,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.8,48.7,48.9,216
Principia,SLIAC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,48.7,48.6,49.3,322
Bryn Athyn,UEC,17.0,7.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,48.6,48.6,48.7,146
St. Vincent,PAC,13.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.5,48.5,48.6,366
Goucher,LAND,14.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.5,48.5,48.6,209
Rensselaer,LL,11.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.4,48.4,48.4,334
PSU-Altoona,AMCC,13.0,11.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,48.4,48.4,49.0,324
Juniata,LAND,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.4,48.3,48.5,234
Alma,MIAA,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.3,48.2,48.5,123
Baruch,CUNYAC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,48.3,48.3,48.4,136
Bluffton,HCAC,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.3,48.3,48.4,143
Swarthmore,CC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.2,48.2,48.3,378
Stevenson,MACC,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.2,48.1,48.2,368
E Mennonite,ODAC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.2,48.1,48.3,188
MA Boston,LEC,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.1,48.0,48.2,257
Elmira,E8,12.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,48.1,48.0,48.1,193
Stockton,NJAC,11.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,48.0,47.9,48.0,329
Hollins,ODAC,8.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.9,47.8,47.9,224
Wilmington OH,OAC,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.8,47.8,48.1,409
Sage,E8,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,47.8,47.8,47.9,343
Bethany WV,PAC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,47.8,47.7,47.8,141
Waynesburg,PAC,13.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.7,47.7,47.7,392
Sewanee,SAA,11.0,15.0,10.0%,10.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.7,47.6,49.0,110
Wheaton MA,NEWMAC,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.7,47.6,47.7,400
Martin Luther,UMAC,16.0,10.0,10.0%,10.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.6,47.6,49.3,104
Pac Lutheran,NWC,6.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.6,47.6,47.7,312
Greenville,SLIAC,11.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,47.6,47.5,47.6,211
LaGrange,CCS,12.0,11.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,47.6,47.5,48.9,102
Worcester St,MASCAC,9.0,17.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.5,47.5,48.2,413
Penn Col Tech,UEC,13.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.5,47.4,47.5,315
Gordon,CNE,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.5,47.4,47.5,208
Caltech,SCIAC,7.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.4,47.3,47.5,151
UC Santa Cruz,C2C,5.0,13.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.4,47.2,47.4,382
Manchester,HCAC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.3,47.3,47.4,259
Curry,CNE,8.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.3,47.2,47.4,177
Whitworth,NWC,7.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.3,47.2,47.3,401
Illinois Col,MWC,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.2,47.1,47.2,231
Marywood,AEC,12.0,14.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.1,47.1,47.1,266
Lasell,GNAC,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.1,47.1,47.2,246
St. Elizabeth,UEC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,47.0,47.0,47.1,356
SUNY Potsdam,SUNYAC,9.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,47.0,47.0,47.1,374
Lakeland,NACC,12.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,47.0,46.9,47.0,244
Clarkson,LL,9.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.9,46.8,46.9,165
Geneva,PAC,11.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.8,46.8,46.8,206
Pfeiffer,USAC,9.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.7,46.7,46.9,316
Austin Col,SCAC,9.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.7,46.7,46.9,132
Elms,GNAC,10.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.6,46.6,46.7,194
Rhodes,SAA,6.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.6,46.5,46.7,335
La Verne,SCIAC,6.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.6,46.5,46.6,242
Notre Dame MD,UEC,12.0,13.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,46.5,46.4,46.5,303
Hood,MACC,7.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.4,46.4,46.5,225
Bethany Luth,UMAC,11.0,15.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,46.4,46.3,47.6,95
SW Univ TX,SCAC,7.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.4,46.3,46.6,377
Lewis & Clark,NWC,5.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.3,46.3,46.4,251
SUNY Fredonia,SUNYAC,8.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.3,46.3,46.4,372
Norwich,GNAC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.3,46.3,46.3,302
Hiram,NCAC,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,46.3,46.3,46.4,222
Adrian,MIAA,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.2,46.2,46.4,115
MN Morris,UMAC,9.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.2,46.2,46.4,279
Keystone,UEC,13.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.2,46.1,46.2,239
Maryville TN,CCS,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.2,46.2,46.3,265
St. Olaf,MIAC,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.1,46.1,46.3,363
John Jay,CUNYAC,12.0,15.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,46.1,46.1,46.2,233
Wellesley,NEWMAC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,46.1,46.1,46.1,393
Huntingdon,CCS,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,46.0,46.0,46.1,228
Kalamazoo,MIAA,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.9,45.9,46.0,235
Schreiner,SCAC,5.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.9,45.8,46.1,350
Buena Vista,ARC,7.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.8,45.7,45.9,148
Spalding,SLIAC,10.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,45.7,45.6,45.7,352
LeTourneau,ASC,6.0,16.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,45.4,45.4,45.5,248
IL Tech,NACC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.4,45.3,45.5,230
Moravian,LAND,6.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.3,45.2,45.4,281
Castleton,LEC,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.3,45.3,45.4,156
St. Mary's IN,MIAA,6.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.2,45.1,45.3,361
Colby-Sawyer,GNAC,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.0,45.0,45.1,168
N England Col,GNAC,10.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.0,45.0,45.0,293
Rutgers-Camden,NJAC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,45.0,45.0,45.0,344
King's PA,MACF,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.9,44.9,44.9,240
ME Farmington,NAC,8.0,13.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,44.8,44.8,44.8,268
Hendrix,SAA,8.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,44.7,44.7,44.7,220
Earlham,HCAC,5.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.6,44.6,44.7,189
FDU Madison,MACF,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.6,44.6,44.7,199
Morrisville St.,SUNYAC,6.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.5,44.5,44.6,282
St. Joseph's NY,SKY,9.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,44.5,44.3,44.5,359
Bryn Mawr,CC,6.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.4,44.4,44.5,147
Misericordia,MACF,6.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.3,44.3,44.4,276
Gwynedd-Mercy,AEC,5.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.3,44.2,44.3,214
SUNYIT,E8,6.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.2,44.2,44.3,375
Lyon,SLIAC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.2,44.1,44.2,256
Marian WI,NACC,7.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.1,44.1,44.2,262
Regis MA,GNAC,6.0,19.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,44.1,44.0,44.1,333
Lehman,CUNYAC,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,44.0,44.0,44.1,249
Lancaster Bib,UEC,9.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,44.0,43.9,44.0,245
Meredith,USAC,7.0,15.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,43.9,43.8,44.0,271
Hartwick,E8,6.0,18.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.9,43.8,43.9,217
MS Women,SLIAC,8.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.8,43.7,43.9,283
Thomas ME,NAC,7.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,43.7,43.7,43.7,380
Western Connecticut,LEC,5.0,20.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.6,43.6,43.7,389
Muskingum,OAC,3.0,21.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.6,43.6,43.7,290
Buffalo St.,SUNYAC,5.0,20.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.5,43.5,43.6,149
Olivet MI,MIAA,5.0,20.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.4,43.4,43.5,310
Rockford,NACC,5.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.2,43.2,43.3,339
Augsburg,MIAC,3.0,21.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.1,43.0,43.2,129
Carleton,MIAC,3.0,22.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.0,43.0,43.1,153
North Park,CCIW,3.0,22.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,43.0,42.9,43.1,300
Monmouth IL,MWC,5.0,20.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,42.9,42.8,43.0,280
Hobart & Smith,LL,3.0,22.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,42.9,42.8,43.0,223
Wilson,UEC,8.0,16.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,42.9,42.9,42.9,410
