Origin_School,Destination_School,Distance
Bowdoin,Colorado Col,2130
Bowdoin,TX Lutheran,2130
Colorado Col,Bowdoin,2130
TX Lutheran,Bowdoin,2130
Cal Lutheran,UW-Superior,2120
UW-Superior,Cal Lutheran,2120
Calvin,Whitman,2116
Whitman,Calvin,2116
Cal Lutheran,UW-Stevens Point,2115
UW-Stevens Point,Cal Lutheran,2115
Cal Lutheran,UW-Oshkosh,2108
UW-Oshkosh,Cal Lutheran,2107
McMurry,MA Dartmouth,2104
MA Dartmouth,McMurry,2104
Whitman,Trine,2102
Trine,Whitman,2102
Cal Lutheran,Ripon,2099
Ripon,Cal Lutheran,2098
Colorado Col,MA Dartmouth,2097
MA Dartmouth,Colorado Col,2097
Cal Lutheran,Wisconsin Lutheran,2094
Wisconsin Lutheran,Cal Lutheran,2094
MA Dartmouth,TX Lutheran,2090
TX Lutheran,MA Dartmouth,2090
McMurry,Bates,2079
Bates,McMurry,2079
Cal Lutheran,DePauw,2076
DePauw,Cal Lutheran,2076
McMurry,Bowdoin,2075
Bowdoin,McMurry,2075
Cal Lutheran,UW-Whitewater,2059
UW-Whitewater,Cal Lutheran,2059
Colorado Col,Endicott,2030
TX Lutheran,Endicott,2029
Endicott,Colorado Col,2029
Endicott,TX Lutheran,2029
Cal Lutheran,Illinois Wesleyan,2028
Cal Lutheran,UW-Stout,2028
Illinois Wesleyan,Cal Lutheran,2028
UW-Stout,Cal Lutheran,2028
DePauw,Whitman,2018
Whitman,DePauw,2018
Tufts,TX Lutheran,2015
TX Lutheran,Tufts,2015
Colorado Col,Tufts,2012
Tufts,Colorado Col,2012
Bridgewater MA,TX Lutheran,2007
TX Lutheran,Bridgewater MA,2007
UW-La Crosse,Cal Lutheran,1997
Cal Lutheran,UW-La Crosse,1997
Bridgewater MA,Colorado Col,1996
Colorado Col,Bridgewater MA,1994
Whitman,East Texas Baptist,1992
East Texas Baptist,Whitman,1992
Bethel,Cal Lutheran,1978
Cal Lutheran,Bethel,1978
McMurry,Endicott,1971
Endicott,McMurry,1971
Amherst,TX Lutheran,1957
TX Lutheran,Amherst,1957
McMurry,Tufts,1953
Tufts,McMurry,1953
Smith,TX Lutheran,1950
TX Lutheran,Smith,1950
McMurry,Bridgewater MA,1949
Amherst,Colorado Col,1949
Bridgewater MA,McMurry,1949
Colorado Col,Amherst,1949
Whitman,TX Lutheran,1947
TX Lutheran,Whitman,1947
Colorado Col,Smith,1942
Smith,Colorado Col,1942
Colorado Col,W New England,1940
W New England,Colorado Col,1940
W New England,TX Lutheran,1936
TX Lutheran,W New England,1936
Illinois Wesleyan,Whitman,1918
Whitman,Illinois Wesleyan,1918
TX Lutheran,St. Joseph CT,1914
St. Joseph CT,TX Lutheran,1913
Trinity (Conn),TX Lutheran,1908
TX Lutheran,Trinity (Conn),1908
St. Joseph CT,Colorado Col,1904
Colorado Col,Trinity (Conn),1904
Colorado Col,St. Joseph CT,1904
Trinity (Conn),Colorado Col,1904
Principia,Cal Lutheran,1900
Cal Lutheran,Principia,1900
McMurry,Amherst,1899
Amherst,McMurry,1899
McMurry,Smith,1893
Smith,McMurry,1893
Gustavus Adolphus,Cal Lutheran,1891
Cal Lutheran,Gustavus Adolphus,1890
McMurry,W New England,1878
W New England,McMurry,1878
TX Lutheran,SUNY Cobleskill,1869
SUNY Cobleskill,TX Lutheran,1869
Cal Lutheran,Wartburg,1865
Wartburg,Cal Lutheran,1865
St. Joseph CT,McMurry,1853
Vassar,TX Lutheran,1853
TX Lutheran,Vassar,1853
Principia,Whitman,1852
McMurry,St. Joseph CT,1852
McMurry,Trinity (Conn),1852
Trinity (Conn),McMurry,1852
Whitman,Principia,1852
