Origin_School,Destination_School,Distance
Trinity (Conn),Wartburg,1198
Wartburg,Trinity (Conn),1198
Wartburg,St. Joseph CT,1198
Stevens,Bethel,1197
Bethel,SUNY Cobleskill,1197
SUNY Cobleskill,Bethel,1197
UW-La Crosse,Amherst,1195
Amherst,UW-La Crosse,1195
Bethel,Randolph-Macon,1192
Randolph-Macon,Bethel,1192
UW-Superior,Piedmont,1191
Piedmont,UW-Superior,1191
UW-La Crosse,Smith,1188
MA Dartmouth,Ripon,1188
Ripon,MA Dartmouth,1188
Smith,UW-La Crosse,1188
Principia,Bridgewater MA,1186
Montclair St.,Bethel,1186
UW-La Crosse,W New England,1186
Bethel,Montclair St.,1186
Bridgewater MA,Principia,1186
W New England,UW-La Crosse,1186
Principia,MA Dartmouth,1185
MA Dartmouth,Principia,1185
Randolph-Macon,East Texas Baptist,1185
East Texas Baptist,Randolph-Macon,1185
UW-Oshkosh,Endicott,1183
Ripon,Endicott,1182
Endicott,UW-Oshkosh,1182
Endicott,Ripon,1181
Amherst,UW-Stevens Point,1180
UW-Stevens Point,Amherst,1180
Centre,Colorado Col,1177
Colorado Col,Centre,1177
Bridgewater MA,UW-Oshkosh,1174
UW-Oshkosh,Bridgewater MA,1174
UW-La Crosse,Trinity (Conn),1173
Cortland,UW-Superior,1173
Trinity (Conn),UW-La Crosse,1173
UW-Superior,Cortland,1173
UW-La Crosse,St. Joseph CT,1172
St. Joseph CT,UW-La Crosse,1172
Bridgewater MA,Ripon,1172
Ripon,Bridgewater MA,1172
Colorado Col,Transylvania,1170
Transylvania,Colorado Col,1170
Gustavus Adolphus,TX Lutheran,1169
Smith,UW-Stevens Point,1169
UW-Stevens Point,Smith,1169
TX Lutheran,Gustavus Adolphus,1169
Gallaudet,UW-Superior,1167
W New England,UW-Stevens Point,1167
UW-Stevens Point,W New England,1167
UW-Superior,Gallaudet,1167
McMurry,Wisconsin Lutheran,1166
Christopher Newport,Wartburg,1166
Wartburg,Christopher Newport,1166
Wisconsin Lutheran,McMurry,1166
Johns Hopkins,UW-Superior,1165
Scranton,UW-Superior,1165
Tufts,UW-Oshkosh,1165
UW-Oshkosh,Tufts,1165
UW-Superior,Johns Hopkins,1165
UW-Superior,Scranton,1165
Ripon,Tufts,1163
Tufts,Ripon,1163
Catholic,UW-Superior,1161
UW-Superior,Catholic,1161
Gustavus Adolphus,Piedmont,1160
Vassar,UW-Stout,1160
UW-Stout,Vassar,1160
Piedmont,Gustavus Adolphus,1160
Trinity (Conn),UW-Stevens Point,1153
Merchant Marine,UW-Stout,1153
UW-Stevens Point,St. Joseph CT,1153
UW-Stevens Point,Trinity (Conn),1153
UW-Stout,Merchant Marine,1153
St. Joseph CT,UW-Stevens Point,1152
Gustavus Adolphus,Mt. St. Mary,1152
Cortland,Gustavus Adolphus,1150
Gustavus Adolphus,Cortland,1150
Bates,Piedmont,1149
Piedmont,Bates,1149
Bowdoin,Piedmont,1145
Piedmont,Bowdoin,1145
Gallaudet,Gustavus Adolphus,1144
Gustavus Adolphus,Gallaudet,1144
NYU,UW-Stout,1144
UW-Stout,NYU,1144
Gustavus Adolphus,Scranton,1143
Scranton,Gustavus Adolphus,1143
UW-Superior,S Virginia,1143
UW-La Crosse,Christopher Newport,1142
Christopher Newport,UW-La Crosse,1142
Gustavus Adolphus,Johns Hopkins,1142
Johns Hopkins,Gustavus Adolphus,1142
S Virginia,UW-Superior,1142
McMurry,UW-Stout,1140
Brooklyn Col,UW-Stout,1140
UW-Stout,Brooklyn Col,1140
UW-Stout,McMurry,1140
Mt. St. Mary,UW-Stout,1140
Principia,Amherst,1139
Amherst,Principia,1139
Elizabethtown,UW-Superior,1139
UW-Superior,Elizabethtown,1139
Catholic,Gustavus Adolphus,1138
Gustavus Adolphus,Catholic,1138
Bethel,Piedmont,1137
Piedmont,Bethel,1137
Washington & Lee,UW-Superior,1136
UW-Superior,Washington & Lee,1136
Colorado Col,UW-Superior,1135
UW-Superior,Colorado Col,1135
UW-Superior,East Texas Baptist,1135
East Texas Baptist,UW-Superior,1135
Colorado Col,Whitman,1134
Whitman,Colorado Col,1134
Principia,Smith,1132
McMurry,UW-Whitewater,1132
Smith,Principia,1132
UW-Whitewater,McMurry,1132
Stevens,UW-Stout,1131
UW-Stout,Stevens,1131
Principia,W New England,1130
Colorado Col,UW-Stevens Point,1130
W New England,Principia,1130
UW-Stevens Point,Colorado Col,1130
UW-Stout,SUNY Cobleskill,1130
SUNY Cobleskill,UW-Stout,1130
East Texas Baptist,La Roche,1128
La Roche,East Texas Baptist,1128
MA Dartmouth,UW-Oshkosh,1126
Gustavus Adolphus,S Virginia,1126
UW-Oshkosh,MA Dartmouth,1126
S Virginia,Gustavus Adolphus,1126
Randolph-Macon,UW-Stout,1125
UW-Stout,Randolph-Macon,1125
TX Lutheran,Transylvania,1124
Transylvania,TX Lutheran,1124
Cal Lutheran,Colorado Col,1123
Christopher Newport,UW-Stevens Point,1123
Colorado Col,Cal Lutheran,1123
Vassar,Wartburg,1123
Wartburg,Vassar,1123
UW-Stevens Point,Christopher Newport,1123
Colorado Col,UW-Oshkosh,1122
UW-Oshkosh,Colorado Col,1122
Montclair St.,UW-Stout,1121
UW-Stout,Montclair St.,1121
Bethel,Cortland,1120
Carnegie Mellon,East Texas Baptist,1120
Cortland,Bethel,1120
East Texas Baptist,Carnegie Mellon,1120
St. Joseph CT,Ripon,1119
Gustavus Adolphus,Elizabethtown,1119
Merchant Marine,Wartburg,1118
Wartburg,Merchant Marine,1118
DePauw,TX Lutheran,1117
Messiah,UW-Superior,1117
UW-Superior,Messiah,1117
TX Lutheran,DePauw,1117
Elizabethtown,Gustavus Adolphus,1116
Bates,DePauw,1115
DePauw,Bates,1115
Gustavus Adolphus,Washington & Lee,1114
Illinois Wesleyan,Endicott,1114
Washington & Lee,Gustavus Adolphus,1114
Endicott,Illinois Wesleyan,1114
Gallaudet,Bethel,1113
UW-La Crosse,McMurry,1113
Bethel,Gallaudet,1113
Colorado Col,Ripon,1113
Bethel,Johns Hopkins,1112
Bethel,Scranton,1112
Scranton,Bethel,1112
Johns Hopkins,Bethel,1111
UW-Whitewater,Endicott,1111
Bowdoin,DePauw,1110
DePauw,Bowdoin,1110
Endicott,UW-Whitewater,1110
McMurry,UW-La Crosse,1108
Bethel,Catholic,1108
Colorado Col,Wisconsin Lutheran,1108
MA Dartmouth,Wisconsin Lutheran,1108
Wisconsin Lutheran,Colorado Col,1108
Wisconsin Lutheran,MA Dartmouth,1108
Catholic,Bethel,1107
Brooklyn Col,Wartburg,1106
Wartburg,Brooklyn Col,1106
Bridgewater MA,Illinois Wesleyan,1105
Illinois Wesleyan,Bridgewater MA,1105
Centre,TX Lutheran,1103
Bridgewater MA,UW-Whitewater,1103
Gettysburg,UW-Superior,1103
UW-Superior,Gettysburg,1103
UW-Whitewater,Bridgewater MA,1103
TX Lutheran,Centre,1103
Mt. St. Mary,Wartburg,1103
Wisconsin Lutheran,Endicott,1102
Endicott,Wisconsin Lutheran,1102
UW-La Crosse,Vassar,1098
Vassar,UW-La Crosse,1098
Stevens,Wartburg,1096
NYU,Wartburg,1096
Wartburg,NYU,1096
Wartburg,Stevens,1096
Illinois Wesleyan,Tufts,1095
Tufts,Illinois Wesleyan,1095
Wartburg,SUNY Cobleskill,1095
SUNY Cobleskill,Wartburg,1095
Principia,Trinity (Conn),1094
Bridgewater MA,Wisconsin Lutheran,1094
Gustavus Adolphus,Messiah,1094
Messiah,Gustavus Adolphus,1094
Trinity (Conn),Principia,1094
Wisconsin Lutheran,Bridgewater MA,1094
Tufts,UW-Whitewater,1093
UW-Whitewater,Tufts,1093
UW-La Crosse,Merchant Marine,1092
Amherst,UW-Oshkosh,1092
Merchant Marine,UW-La Crosse,1092
UW-Oshkosh,Amherst,1092
Bethel,S Virginia,1091
Washington & Jefferson,East Texas Baptist,1091
East Texas Baptist,Washington & Jefferson,1091
McMurry,Bethel,1090
Bethel,McMurry,1090
Wartburg,Randolph-Macon,1090
Randolph-Macon,Wartburg,1089
S Virginia,Bethel,1089
Amherst,Ripon,1088
Ripon,Amherst,1088
Smith,UW-Oshkosh,1086
Wartburg,TX Lutheran,1086
UW-Oshkosh,Smith,1086
TX Lutheran,Wartburg,1086
Bethel,Elizabethtown,1085
Bethel,Washington & Lee,1085
MA Dartmouth,UW-Whitewater,1085
Elizabethtown,Bethel,1085
Tufts,Wisconsin Lutheran,1085
UW-Whitewater,MA Dartmouth,1085
Wisconsin Lutheran,Tufts,1085
Centre,Bates,1084
Bates,Centre,1084
Gustavus Adolphus,Gettysburg,1084
Montclair St.,Wartburg,1083
MA Dartmouth,Illinois Wesleyan,1083
MA Dartmouth,Piedmont,1083
Wartburg,Montclair St.,1083
Washington & Lee,Bethel,1083
Piedmont,MA Dartmouth,1083
Illinois Wesleyan,MA Dartmouth,1081
Gettysburg,Gustavus Adolphus,1080
Ripon,Smith,1080
Smith,Ripon,1080
Vassar,UW-Stevens Point,1080
W New England,UW-Oshkosh,1080
UW-Oshkosh,W New England,1080
UW-Stevens Point,Vassar,1080
Centre,Bowdoin,1079
UW-La Crosse,Brooklyn Col,1079
UW-La Crosse,Mt. St. Mary,1079
Bowdoin,Centre,1079
Brooklyn Col,UW-La Crosse,1079
Ripon,W New England,1079
W New England,Ripon,1079
Mt. St. Mary,UW-La Crosse,1079
Merchant Marine,UW-Stevens Point,1073
UW-Stevens Point,Merchant Marine,1073
UW-La Crosse,NYU,1072
Colorado Col,UW-Whitewater,1072
NYU,UW-La Crosse,1072
UW-Whitewater,Colorado Col,1072
Stevens,UW-La Crosse,1070
UW-La Crosse,Stevens,1070
UW-Stout,Piedmont,1070
Piedmont,UW-Stout,1070
UW-La Crosse,SUNY Cobleskill,1069
SUNY Cobleskill,UW-La Crosse,1069
Baldwin Wallace,East Texas Baptist,1067
Trinity (Conn),UW-Oshkosh,1067
UW-Oshkosh,Trinity (Conn),1067
East Texas Baptist,Baldwin Wallace,1067
St. Joseph CT,UW-Oshkosh,1066
UW-Oshkosh,St. Joseph CT,1066
Ripon,Trinity (Conn),1065
Ripon,St. Joseph CT,1065
Trinity (Conn),Ripon,1065
UW-La Crosse,Randolph-Macon,1064
Randolph-Macon,UW-La Crosse,1064
Messiah,Bethel,1063
Bethel,Messiah,1062
Brooklyn Col,UW-Stevens Point,1062
UW-Stevens Point,Brooklyn Col,1062
UW-Stevens Point,Mt. St. Mary,1060
Mt. St. Mary,UW-Stevens Point,1060
Montclair St.,UW-La Crosse,1058
UW-La Crosse,Montclair St.,1058
McMurry,Transylvania,1058
Transylvania,McMurry,1058
UW-Superior,Brockport St.,1057
McMurry,Gustavus Adolphus,1056
Brockport St.,UW-Superior,1056
Gustavus Adolphus,McMurry,1056
Wartburg,Mt. St. Mary,1056
Cortland,UW-Stout,1053
Whitman,Cal Lutheran,1053
UW-Stout,Cortland,1053
Stevens,UW-Stevens Point,1051
NYU,UW-Stevens Point,1051
UW-Stevens Point,NYU,1051
UW-Stevens Point,Stevens,1051
UW-Stevens Point,SUNY Cobleskill,1050
SUNY Cobleskill,UW-Stevens Point,1050
Bethel,Gettysburg,1049
Geneseo St.,UW-Superior,1049
Gettysburg,Bethel,1049
UW-Superior,Geneseo St.,1049
Bates,Transylvania,1048
Cal Lutheran,Whitman,1048
Transylvania,Bates,1048
Gallaudet,UW-Stout,1047
Washington & Lee,East Texas Baptist,1047
UW-Stout,Gallaudet,1047
East Texas Baptist,Washington & Lee,1047
Johns Hopkins,UW-Stout,1045
Randolph-Macon,UW-Stevens Point,1045
Scranton,UW-Stout,1045
UW-Stevens Point,Randolph-Macon,1045
UW-Stout,Johns Hopkins,1045
UW-Stout,Scranton,1045
McMurry,Piedmont,1044
Colorado Col,UW-Stout,1044
East Texas Baptist,UW-Stout,1044
Endicott,Piedmont,1044
Piedmont,McMurry,1044
Piedmont,Endicott,1044
Bowdoin,Transylvania,1043
UW-Stout,Colorado Col,1043
UW-Stout,East Texas Baptist,1043
Transylvania,Bowdoin,1043
Centre,McMurry,1041
McMurry,Centre,1041
Catholic,UW-Stout,1041
Illinois Wesleyan,TX Lutheran,1041
UW-Stout,Catholic,1041
East Texas Baptist,S Virginia,1041
TX Lutheran,Illinois Wesleyan,1041
S Virginia,East Texas Baptist,1041
Montclair St.,UW-Stevens Point,1039
UW-Stevens Point,Montclair St.,1039
Colorado Col,DePauw,1038
DePauw,Colorado Col,1038
Christopher Newport,UW-Oshkosh,1036
Immaculata,UW-Superior,1036
UW-Oshkosh,Christopher Newport,1036
UW-Superior,Immaculata,1036
Christopher Newport,Ripon,1035
Ripon,Christopher Newport,1035
TX Lutheran,Piedmont,1035
Piedmont,TX Lutheran,1035
Brockport St.,Gustavus Adolphus,1033
Gustavus Adolphus,Brockport St.,1033
UW-Stevens Point,East Texas Baptist,1033
East Texas Baptist,UW-Stevens Point,1033
Geneseo St.,Gustavus Adolphus,1029
Gustavus Adolphus,Geneseo St.,1029
Tufts,Piedmont,1026
Piedmont,Tufts,1026
UW-Stout,S Virginia,1024
S Virginia,UW-Stout,1024
Bridgewater MA,Piedmont,1022
Piedmont,Bridgewater MA,1022
Principia,Vassar,1021
Centre,MA Dartmouth,1021
MA Dartmouth,Centre,1021
Vassar,Principia,1021
Amherst,Illinois Wesleyan,1020
Illinois Wesleyan,Amherst,1020
Amherst,UW-Whitewater,1018
Elizabethtown,UW-Stout,1018
UW-Stout,Elizabethtown,1018
UW-Stout,Mt. St. Mary,1018
UW-Whitewater,Amherst,1018
Calvin,East Texas Baptist,1017
Cortland,Wartburg,1017
Gustavus Adolphus,Immaculata,1017
Immaculata,Gustavus Adolphus,1017
Wartburg,Cortland,1017
Washington & Lee,UW-Stout,1017
UW-Stout,Washington & Lee,1017
East Texas Baptist,Calvin,1017
Illinois Wesleyan,Smith,1014
Smith,Illinois Wesleyan,1014
Principia,SUNY Cobleskill,1013
SUNY Cobleskill,Principia,1013
UW-La Crosse,Colorado Col,1012
Colorado Col,UW-La Crosse,1012
Illinois Wesleyan,W New England,1011
W New England,Illinois Wesleyan,1011
UW-Whitewater,Smith,1011
Transylvania,MA Dartmouth,1011
Gallaudet,Wartburg,1010
DePauw,Endicott,1010
Smith,UW-Whitewater,1010
Wartburg,Gallaudet,1010
Wartburg,Scranton,1010
Piedmont,UW-La Crosse,1010
UW-La Crosse,Piedmont,1009
Amherst,Wisconsin Lutheran,1009
Scranton,Wartburg,1009
W New England,UW-Whitewater,1009
UW-Whitewater,W New England,1009
Wisconsin Lutheran,Amherst,1009
Endicott,DePauw,1009
Johns Hopkins,Wartburg,1008
Wartburg,Johns Hopkins,1008
Catholic,Wartburg,1004
Wartburg,Catholic,1004
UW-La Crosse,East Texas Baptist,1003
East Texas Baptist,UW-La Crosse,1003
McMurry,DePauw,1002
Bethel,Brockport St.,1002
Brockport St.,Bethel,1002
DePauw,McMurry,1002
Smith,Wisconsin Lutheran,1002
Wisconsin Lutheran,Smith,1002
Principia,Mt. St. Mary,1001
W New England,Wisconsin Lutheran,1001
Mt. St. Mary,Principia,1001
Wisconsin Lutheran,W New England,1001
Illinois Wesleyan,Trinity (Conn),998
Trinity (Conn),Illinois Wesleyan,998
St. Joseph CT,Illinois Wesleyan,997
Illinois Wesleyan,St. Joseph CT,997
UW-Oshkosh,East Texas Baptist,996
East Texas Baptist,UW-Oshkosh,996
Principia,Merchant Marine,995
St. Joseph CT,UW-Whitewater,995
Bethel,Geneseo St.,995
Geneseo St.,Bethel,995
Messiah,UW-Stout,995
Merchant Marine,Principia,995
UW-Stout,Messiah,995
UW-Whitewater,Trinity (Conn),995
UW-Whitewater,St. Joseph CT,995
Colorado Col,Bethel,994
MA Dartmouth,Transylvania,994
Trinity (Conn),UW-Whitewater,994
Bethel,Colorado Col,993
Bethel,East Texas Baptist,993
Vassar,UW-Oshkosh,993
East Texas Baptist,Bethel,993
UW-La Crosse,Cortland,992
Cortland,UW-La Crosse,992
DePauw,Tufts,992
Tufts,DePauw,992
UW-Oshkosh,Vassar,992
MA Dartmouth,DePauw,991
Ripon,Vassar,991
Vassar,Ripon,991
UW-Stevens Point,Piedmont,990
Piedmont,UW-Stevens Point,990
UW-La Crosse,Gallaudet,987
St. Joseph CT,Wisconsin Lutheran,987
Ripon,East Texas Baptist,987
Merchant Marine,UW-Oshkosh,987
UW-Oshkosh,Merchant Marine,987
East Texas Baptist,Ripon,987
Wisconsin Lutheran,St. Joseph CT,987
Gallaudet,UW-La Crosse,986
Trinity (Conn),Wisconsin Lutheran,986
Wisconsin Lutheran,Trinity (Conn),986
Ripon,Merchant Marine,985
Merchant Marine,Ripon,985
UW-La Crosse,Scranton,984
Scranton,UW-La Crosse,984
Bethel,Immaculata,983
Elizabethtown,Wartburg,983
Immaculata,Bethel,983
Wartburg,Elizabethtown,983
Principia,NYU,982
Gettysburg,UW-Stout,982
NYU,Principia,982
UW-Stout,Gettysburg,982
UW-La Crosse,Johns Hopkins,981
Johns Hopkins,UW-La Crosse,981
Endicott,Centre,981
SUNY Cobleskill,Ripon,981
UW-La Crosse,Catholic,980
Catholic,UW-La Crosse,980
Wartburg,Piedmont,979
Piedmont,Wartburg,979
Centre,Endicott,978
McMurry,Wartburg,977
Wartburg,McMurry,977
Principia,Brooklyn Col,976
Bridgewater MA,DePauw,976
Brooklyn Col,Principia,976
DePauw,Bridgewater MA,976
Brooklyn Col,UW-Oshkosh,974
UW-Oshkosh,Brooklyn Col,974
Brooklyn Col,Ripon,973
Cortland,UW-Stevens Point,973
Ripon,Brooklyn Col,973
UW-Stevens Point,Cortland,973
Mt. St. Mary,Ripon,972
Mt. St. Mary,UW-Oshkosh,972
Amherst,Piedmont,971
Piedmont,Amherst,971
Calvin,MA Dartmouth,968
MA Dartmouth,Calvin,968
Gallaudet,UW-Stevens Point,966
DePauw,MA Dartmouth,966
NYU,UW-Oshkosh,966
UW-Oshkosh,NYU,966
UW-Stevens Point,Gallaudet,966
Johns Hopkins,UW-Stevens Point,965
NYU,Ripon,965
Ripon,NYU,965
Scranton,UW-Stevens Point,965
Smith,Piedmont,965
UW-Stevens Point,Johns Hopkins,965
UW-Stevens Point,Scranton,965
UW-Whitewater,Christopher Newport,965
Piedmont,Smith,965
Stevens,UW-Oshkosh,964
Christopher Newport,UW-Whitewater,964
Ohio Wesleyan,East Texas Baptist,964
UW-Oshkosh,Stevens,964
UW-Oshkosh,SUNY Cobleskill,964
East Texas Baptist,Ohio Wesleyan,964
SUNY Cobleskill,UW-Oshkosh,964
Calvin,Bates,963
Stevens,Ripon,963
Bates,Calvin,963
Colorado Col,Illinois Wesleyan,963
Gustavus Adolphus,East Texas Baptist,963
Illinois Wesleyan,Colorado Col,963
Ripon,Stevens,963
East Texas Baptist,Gustavus Adolphus,963
Centre,Tufts,962
Ripon,SUNY Cobleskill,962
Tufts,Centre,962
Wartburg,S Virginia,962
East Texas Baptist,Trine,962
Trine,East Texas Baptist,962
S Virginia,Wartburg,962
UW-La Crosse,S Virginia,961
Catholic,UW-Stevens Point,961
UW-Stevens Point,Catholic,961
East Texas Baptist,Wisconsin Lutheran,961
Wisconsin Lutheran,East Texas Baptist,961
S Virginia,UW-La Crosse,961
Messiah,Wartburg,960
Wartburg,Messiah,960
Randolph-Macon,UW-Oshkosh,959
UW-Oshkosh,Randolph-Macon,959
Calvin,Bowdoin,958
Bowdoin,Calvin,958
Centre,Bridgewater MA,957
UW-La Crosse,Elizabethtown,957
Bridgewater MA,Centre,957
Elizabethtown,UW-La Crosse,957
Randolph-Macon,Ripon,957
Ripon,Randolph-Macon,957
Christopher Newport,Wisconsin Lutheran,956
Wisconsin Lutheran,Christopher Newport,956
UW-La Crosse,Washington & Lee,955
Wartburg,Washington & Lee,955
Washington & Lee,Wartburg,955
Washington & Lee,UW-La Crosse,955
McMurry,Illinois Wesleyan,954
Bates,Trine,954
Illinois Wesleyan,McMurry,954
Trine,Bates,954
Montclair St.,Ripon,952
Montclair St.,UW-Oshkosh,952
Ripon,Montclair St.,952
UW-Oshkosh,Montclair St.,952
Bowdoin,Trine,950
W New England,Piedmont,950
Piedmont,W New England,950
Trine,Bowdoin,950
Gettysburg,Wartburg,948
Wartburg,Gettysburg,948
Washington & Jefferson,UW-Superior,948
UW-Superior,Washington & Jefferson,948
Transylvania,Endicott,945
UW-Stevens Point,S Virginia,943
S Virginia,UW-Stevens Point,943
Endicott,Transylvania,942
Elizabethtown,UW-Stevens Point,938
UW-Stevens Point,Elizabethtown,938
Principia,Cortland,936
UW-La Crosse,Messiah,936
Brockport St.,UW-Stout,936
Cortland,Principia,936
Messiah,UW-La Crosse,936
Washington & Lee,UW-Stevens Point,936
UW-Stevens Point,Washington & Lee,936
UW-Stout,Brockport St.,936
Amherst,DePauw,929
DePauw,Amherst,929
Gustavus Adolphus,Washington & Jefferson,928
Washington & Jefferson,Gustavus Adolphus,928
Geneseo St.,UW-Stout,927
Tufts,Transylvania,927
UW-Stout,Geneseo St.,927
Piedmont,SUNY Cobleskill,927
Transylvania,Tufts,927
SUNY Cobleskill,Piedmont,927
Carnegie Mellon,UW-Superior,924
Illinois Wesleyan,Vassar,924
Vassar,Illinois Wesleyan,924
UW-Superior,Carnegie Mellon,924
Piedmont,St. Joseph CT,924
St. Joseph CT,Piedmont,923
Trinity (Conn),Piedmont,923
Piedmont,Trinity (Conn),923
UW-La Crosse,Gettysburg,922
Bridgewater MA,Transylvania,922
DePauw,Smith,922
Gettysburg,UW-La Crosse,922
Smith,DePauw,922
Transylvania,Bridgewater MA,922
Principia,Christopher Newport,921
Christopher Newport,Principia,921
DePauw,W New England,920
Vassar,UW-Whitewater,920
UW-Whitewater,Vassar,920
W New England,DePauw,919
Illinois Wesleyan,Merchant Marine,917
Merchant Marine,Illinois Wesleyan,917
Immaculata,UW-Stout,916
UW-Stout,Immaculata,916
Colorado Col,TX Lutheran,915
Messiah,UW-Stevens Point,915
Merchant Marine,UW-Whitewater,915
UW-Stevens Point,Messiah,915
UW-Whitewater,Merchant Marine,915
TX Lutheran,Colorado Col,915
UW-Superior,La Roche,914
La Roche,UW-Superior,914
Principia,TX Lutheran,912
Vassar,Wisconsin Lutheran,912
TX Lutheran,Principia,912
Wisconsin Lutheran,Vassar,912
Merchant Marine,Wisconsin Lutheran,907
Wisconsin Lutheran,Merchant Marine,907
Principia,Scranton,906
Centre,Amherst,906
Amherst,Centre,906
Colorado Col,Gustavus Adolphus,906
Gustavus Adolphus,Colorado Col,906
Scranton,Principia,906
Carnegie Mellon,Gustavus Adolphus,905
Mt. St. Mary,Illinois Wesleyan,905
UW-Oshkosh,Piedmont,904
Piedmont,UW-Oshkosh,904
Ripon,Piedmont,903
Piedmont,Ripon,903
Brooklyn Col,UW-Whitewater,902
Gettysburg,UW-Stevens Point,902
UW-Stevens Point,Gettysburg,902
UW-Whitewater,Brooklyn Col,902
Gustavus Adolphus,Carnegie Mellon,901
Mt. St. Mary,UW-Whitewater,901
Centre,Smith,900
Smith,Centre,900
Brockport St.,Wartburg,899
Wartburg,Brockport St.,899
UW-Whitewater,East Texas Baptist,899
East Texas Baptist,UW-Whitewater,899
Gustavus Adolphus,La Roche,895
La Roche,Gustavus Adolphus,895
Bethel,Washington & Jefferson,894
Brooklyn Col,Wisconsin Lutheran,894
Illinois Wesleyan,SUNY Cobleskill,894
NYU,UW-Whitewater,894
Washington & Jefferson,Bethel,894
UW-Whitewater,NYU,894
Wisconsin Lutheran,Brooklyn Col,894
SUNY Cobleskill,Illinois Wesleyan,894
Stevens,UW-Whitewater,893
Geneseo St.,Wartburg,893
Wartburg,Geneseo St.,893
UW-Whitewater,Stevens,893
Mt. St. Mary,Wisconsin Lutheran,893
UW-Whitewater,SUNY Cobleskill,892
SUNY Cobleskill,UW-Whitewater,892
Brooklyn Col,Illinois Wesleyan,889
Illinois Wesleyan,Brooklyn Col,889
Centre,W New England,887
Randolph-Macon,UW-Whitewater,887
UW-Whitewater,Randolph-Macon,887
Cortland,UW-Oshkosh,886
NYU,Wisconsin Lutheran,886
UW-Oshkosh,Cortland,886
Wisconsin Lutheran,NYU,886
Cortland,Ripon,885
DePauw,Trinity (Conn),885
Ripon,Cortland,885
Trinity (Conn),DePauw,885
W New England,Centre,885
Stevens,Wisconsin Lutheran,884
St. Joseph CT,DePauw,884
DePauw,St. Joseph CT,884
Wisconsin Lutheran,Stevens,884
Wisconsin Lutheran,SUNY Cobleskill,884
SUNY Cobleskill,Wisconsin Lutheran,884
Vassar,Piedmont,883
Piedmont,Vassar,883
Montclair St.,Illinois Wesleyan,882
Illinois Wesleyan,Montclair St.,882
Montclair St.,UW-Whitewater,881
Stevens,Illinois Wesleyan,881
Colorado Col,East Texas Baptist,881
Illinois Wesleyan,Stevens,881
Immaculata,Wartburg,881
Wartburg,Immaculata,881
UW-Whitewater,Montclair St.,881
East Texas Baptist,Colorado Col,881
Colorado Col,Wartburg,880
Wartburg,Colorado Col,880
Wartburg,East Texas Baptist,880
East Texas Baptist,Wartburg,880
Gallaudet,Ripon,879
Gallaudet,UW-Oshkosh,879
Illinois Wesleyan,NYU,879
Johns Hopkins,UW-Oshkosh,879
NYU,Illinois Wesleyan,879
Ripon,Gallaudet,879
Scranton,UW-Oshkosh,879
UW-Oshkosh,Gallaudet,879
UW-Oshkosh,Johns Hopkins,879
UW-Oshkosh,Scranton,879
Bates,Ohio Wesleyan,878
Ohio Wesleyan,Bates,878
Randolph-Macon,Wisconsin Lutheran,878
Wisconsin Lutheran,Randolph-Macon,878
Johns Hopkins,Ripon,877
Ripon,Johns Hopkins,877
Ripon,Scranton,877
Scranton,Ripon,877
UW-La Crosse,Brockport St.,875
Brockport St.,UW-La Crosse,875
Catholic,UW-Oshkosh,875
UW-Oshkosh,Catholic,875
Montclair St.,Wisconsin Lutheran,873
Bowdoin,Ohio Wesleyan,873
Catholic,Ripon,873
Ohio Wesleyan,Bowdoin,873
Ripon,Catholic,873
Wisconsin Lutheran,Montclair St.,873
Amherst,Transylvania,872
Cortland,Piedmont,872
Piedmont,Cortland,872
Transylvania,Amherst,872
Bethel,Carnegie Mellon,870
Carnegie Mellon,Bethel,870
UW-La Crosse,Geneseo St.,867
Brockport St.,Piedmont,866
Christopher Newport,Illinois Wesleyan,866
Geneseo St.,UW-La Crosse,866
Illinois Wesleyan,Christopher Newport,866
Piedmont,Brockport St.,866
Mt. St. Mary,Piedmont,864
Piedmont,Mt. St. Mary,864
Smith,Transylvania,863
Transylvania,Smith,863
St. Joseph CT,Centre,862
Centre,St. Joseph CT,861
Bethel,La Roche,860
Ripon,Mt. St. Mary,860
La Roche,Bethel,860
Principia,Randolph-Macon,858
Geneseo St.,Piedmont,858
Randolph-Macon,Principia,858
Piedmont,Geneseo St.,858
Centre,Trinity (Conn),857
Trinity (Conn),Centre,857
Brockport St.,UW-Stevens Point,856
UW-Oshkosh,S Virginia,856
UW-Stevens Point,Brockport St.,856
S Virginia,UW-Oshkosh,856
Calvin,Endicott,855
UW-La Crosse,Immaculata,855
Immaculata,UW-La Crosse,855
Ripon,S Virginia,855
Endicott,Calvin,855
S Virginia,Ripon,854
Principia,Colorado Col,852
Colorado Col,Principia,852
UW-Oshkosh,Mt. St. Mary,852
Elizabethtown,Ripon,851
Elizabethtown,UW-Oshkosh,851
Ripon,Elizabethtown,851
W New England,Transylvania,851
UW-Oshkosh,Elizabethtown,851
Transylvania,W New England,851
Washington & Lee,UW-Oshkosh,849
UW-Oshkosh,Washington & Lee,849
Geneseo St.,UW-Stevens Point,848
Ripon,Washington & Lee,848
Washington & Lee,Ripon,848
UW-Stevens Point,Geneseo St.,848
Trine,Endicott,847
Calvin,Bridgewater MA,846
Bridgewater MA,Calvin,846
Endicott,Trine,846
UW-Superior,Centre,841
Centre,UW-Superior,839
