simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
6,Randolph Col,10,14,49.42822580783575,False,False,False,False,False,False
6,Randolph-Macon,25,2,62.67627534780243,False,True,True,False,False,True
6,Redlands,14,13,52.375967458329505,False,False,False,False,False,False
6,Regis MA,6,19,44.028353099652584,False,False,False,False,False,False
6,Rensselaer,11,14,48.42579299429059,False,False,False,False,False,False
6,Rhodes,6,18,46.66218526005369,False,False,False,False,False,False
6,Rhode Island College,19,7,57.437140453031276,False,False,False,False,False,False
6,Ripon,23,4,58.233347177569215,True,False,True,False,False,False
6,Rivier,15,11,51.466056748323936,False,False,False,False,False,False
6,Roanoke,13,13,51.37977534893742,False,False,False,False,False,False
6,Rochester,13,12,55.27352465680276,False,False,False,False,False,False
6,Rochester Tech,16,12,52.88334476796189,False,False,False,False,False,False
6,Rockford,5,17,43.19936584936164,False,False,False,False,False,False
6,Roger Williams,20,8,57.37742556105445,True,False,True,False,False,False
6,Rose-Hulman,12,13,50.95697239382162,False,False,False,False,False,False
6,Rosemont,2,22,37.28137272971022,False,False,False,False,False,False
6,Rowan,17,9,52.89150630669744,False,False,False,False,False,False
6,Sage,11,15,47.83083946144343,False,False,False,False,False,False
6,Rutgers-Camden,8,16,45.01191517130264,False,False,False,False,False,False
6,Rutgers-Newark,3,22,39.67427439030688,False,False,False,False,False,False
6,S Maine,18,10,53.94774311167027,False,False,False,False,False,False
6,S Virginia,24,3,58.79911387242138,False,True,True,False,False,False
6,Salem MA,17,12,52.12872065978932,True,False,True,False,False,False
6,Salem NC,1,19,35.57769319447111,False,False,False,False,False,False
6,Salisbury,11,14,49.995432217086666,False,False,False,False,False,False
6,Salve Regina,15,11,53.274145185532,False,False,False,False,False,False
6,Sarah Lawrence,6,20,41.42688822460681,False,False,False,False,False,False
6,Schreiner,5,17,45.97326685915789,False,False,False,False,False,False
6,Scranton,26,1,66.78086679882017,True,False,True,True,True,True
6,Sewanee,11,15,47.71788566439917,False,False,False,False,False,False
6,Shenandoah,18,10,55.04847920873859,False,False,False,False,False,False
6,Simpson (Iowa),14,11,52.68153302900764,False,False,False,False,False,False
6,Skidmore,17,11,54.3937239550631,True,False,True,False,False,False
6,Smith,26,2,63.452434928020736,True,False,True,False,False,True
